a,b
363,24.518766309000334
364,24.547281029472813
365,24.516269759802913
366,24.456680031480644
367,24.48678464858329
368,24.397372666246508
369,24.454342362468584
370,24.49936341468678
371,24.6520341217607
372,24.57536046227761
373,24.53682882418579
374,24.570100151460004
375,24.52548585530494
376,24.648788396652208
377,24.567685681936023
378,24.586092207555925
379,24.937355483197052
380,24.93267059326172
381,24.918520865843615
382,24.896515149897315
383,24.87769324124084
384,24.83789927422046
385,24.79726955450626
386,24.825438630465936
387,24.81215496897059
388,24.892924719898584
389,24.838906505035613
390,24.797290736065257
391,24.804619054380975
392,24.792839318814153
393,24.888750050139965
394,24.83547784513255
395,24.771589032644396
396,24.761431095735393
397,24.734664508005036
398,24.748225852117375
399,24.817200436783835
400,24.815845489501953
401,24.848326292381586
402,24.895447378443116
403,24.889812182200114
404,24.921087457181333
405,24.906353375167907
406,24.889441798243
407,24.863783358299525
408,24.834472266289872
409,24.845887804925727
410,24.76581534562762
411,24.763647354166153
412,24.738618739166135
413,24.757367996581973
414,24.75876429553069
415,24.734390027037325
416,24.812603762878098
417,24.770536385088306
418,24.818253877804256
419,24.812609467467304
420,24.791288375854492
421,24.79388404446025
422,24.819858057581357
423,24.807128343882255
424,24.784557550116315
425,24.75447573306431
426,24.92609116475212
427,24.896630985713152
428,24.915320816027993
429,24.91061315033013
430,24.905178026590278
431,24.907512381892847
432,24.89356461107079
433,24.881722750042922
434,24.88985374690989
435,24.865890780090368
436,24.861763608787317
437,24.82398040908236
438,24.82597724499639
439,24.823599365261312
440,24.82914924621582
441,24.83476178983266
442,24.81718862894586
443,24.837296771376607
444,24.821362264894226
445,24.861680183051092
446,24.85242439957907
447,24.83398944423712
448,24.82804876682607
449,24.821361532214613
450,24.81350020786824
451,24.819498891109184
452,24.822391373045832
453,24.805787191473645
454,24.798100640961763
455,24.776922890448205
456,24.760047916471535
457,24.73687002140277
458,24.746778684499983
459,24.76354650986281
460,24.75663423538208
461,24.75152088242501
462,24.75014147971768
463,24.740194831314653
464,24.74207867367111
465,24.739216220705462
466,24.728707225733636
467,24.731359295309765
468,24.738574565435297
469,24.72778804271895
470,24.73688567179206
471,24.735758031031846
472,24.741589553489558
473,24.731057649859604
474,24.791305474717213
475,24.8014640873933
476,24.798336781255443
477,24.781504865522074
478,24.77116428151126
479,24.772896587211815
480,24.796581268310547
481,24.79215681578254
482,24.774417974153813
483,24.771637722934674
484,24.81957596323488
485,24.81807335106459
486,24.80172040170464
487,24.795582629081878
488,24.794316655727545
489,24.788050869100413
490,24.784209194697233
491,24.789969027754516
492,24.791996541025867
493,24.78865030425498
494,24.784513977568906
495,24.778898717817768
496,24.765903604930088
497,24.774497810055426
498,24.775831702115855
499,24.774011155627278
500,24.76693093776703
501,24.760065619722326
502,24.773770081542708
503,24.764616687170204
504,24.765747107047048
505,24.76992178816871
506,24.75581181201264
507,24.754784968409638
508,24.762593009169283
509,24.753635759813015
510,24.740124113617533
511,24.733299076239078
