a,b
1,50
2,50
3,50
4,50
5,50
6,50
7,50
8,50
9,50
10,50
11,50
12,50
13,50
14,50
15,50
16,50
17,50
18,50
19,50
20,50
21,33.33333333333333
22,33.33333333333333
23,33.33333333333333
24,33.33333333333333
25,33.33333333333333
26,33.33333333333333
27,33.33333333333333
28,33.33333333333333
29,33.33333333333333
30,33.33333333333333
31,33.33333333333333
32,50
33,50
34,50
35,50
36,50
37,50
38,50
39,50
40,50
41,40
42,40
43,40
44,40
45,40
46,40
47,33.33333333333333
48,33.33333333333333
49,33.33333333333333
50,33.33333333333333
51,33.33333333333333
52,28.57142857142857
53,28.57142857142857
54,28.57142857142857
55,28.57142857142857
56,28.57142857142857
57,50
58,50
59,50
60,50
61,44.44444444444444
62,44.44444444444444
63,44.44444444444444
64,40
65,40
66,40
67,36.36363636363637
68,36.36363636363637
69,36.36363636363637
70,33.33333333333333
71,33.33333333333333
72,30.76923076923077
73,30.76923076923077
74,30.76923076923077
75,28.57142857142857
76,28.57142857142857
77,26.666666666666668
78,26.666666666666668
79,31.25
80,31.25
81,29.411764705882355
82,27.77777777777778
83,27.77777777777778
84,26.31578947368421
85,25
86,25
87,23.809523809523807
88,22.727272727272727
89,22.727272727272727
90,21.73913043478261
91,20.833333333333336
92,20
93,19.230769230769234
94,19.230769230769234
95,18.51851851851852
96,17.857142857142858
97,17.24137931034483
98,16.666666666666664
99,16.129032258064516
100,40.625
101,38.23529411764706
102,37.142857142857146
103,36.11111111111111
104,35.13513513513514
105,33.33333333333333
106,35
107,34.146341463414636
108,32.55813953488372
109,31.818181818181817
110,30.434782608695656
111,29.78723404255319
112,30.612244897959183
113,29.411764705882355
114,28.846153846153843
115,27.77777777777778
116,26.785714285714285
117,25.862068965517242
118,25
119,24.193548387096776
120,25
121,23.88059701492537
122,23.18840579710145
123,22.22222222222222
124,21.62162162162162
125,20.77922077922078
126,20.253164556962027
127,24.390243902439025
128,23.52941176470588
129,22.727272727272727
130,21.978021978021978
131,21.27659574468085
132,21.428571428571427
133,20.792079207920793
134,35.57692307692308
135,34.25925925925926
136,33.92857142857143
137,32.758620689655174
138,31.666666666666664
139,30.64516129032258
140,32.8125
141,31.57894736842105
142,31.15942028985507
143,30.069930069930066
144,29.72972972972973
145,28.75816993464052
146,27.848101265822784
147,27.439024390243905
148,27.218934911242602
149,26.285714285714285
150,31.318681318681318
151,30.319148936170215
